step,leg,clearance,c_authority,eta,phi,Lf,margin_g,engaged,infeasible,body_part,constraint_index,n_active,n_joints_1pct,top_joint,top_joint_share
0,1,0.044321374,0.373531,20.0,426.590032286,-9784.806905,9765.180436,1,0,torso_link_1,96,76,3,WaistPitch,0.5479
1,1,0.044206931,36.872788,20.0,-0.022661189,0.011555,16.861233,0,0,R_ee,90,0,8,RightShoulderPitch,0.3382
2,1,0.044088779,36.878632,20.0,-0.021680645,0.014188,16.864444,0,0,R_ee,90,0,8,RightShoulderPitch,0.3382
3,1,0.043941913,36.887467,20.0,-0.020711715,0.015994,16.871472,0,0,R_ee,90,0,8,RightShoulderPitch,0.3381
4,1,0.043767685,36.899446,20.0,-0.019749705,0.017078,16.882367,0,0,R_ee,90,0,8,RightShoulderPitch,0.3379
5,1,0.043567249,36.913894,20.0,-0.017152273,0.02265,16.891244,0,0,R_ee,90,0,8,RightShoulderPitch,0.3377
6,1,0.043287114,36.929707,20.0,-0.014922521,0.026193,16.903514,0,0,R_ee,90,0,8,RightShoulderPitch,0.3374
7,1,0.042942241,36.946353,20.0,-0.012714189,0.028892,16.91746,0,0,R_ee,90,0,8,RightShoulderPitch,0.3372
8,1,0.042535568,36.962967,20.0,-0.010208656,0.03164,16.931327,0,0,R_ee,90,0,8,RightShoulderPitch,0.3369
9,1,0.042059373,36.978358,20.0,-0.007245039,0.034532,16.943826,0,0,R_ee,90,0,8,RightShoulderPitch,0.3366
10,1,0.04150093,36.990681,20.0,-0.004657567,0.035217,16.955464,0,0,R_ee,90,0,8,RightShoulderPitch,0.3364
11,1,0.040875571,36.998753,20.0,-0.002156875,0.034903,16.963849,0,0,R_ee,90,0,8,RightShoulderPitch,0.3362
12,1,0.040188503,37.001058,20.0,0.000114906,0.033421,16.967638,1,0,R_ee,90,1,8,RightShoulderPitch,0.336
13,1,0.039449444,1.935451,20.0,-0.151152151,0.028514,-18.093062,0,0,right_shoulder_roll_joint,55,0,4,WaistPitch,0.359
14,1,0.045388998,1.935202,20.0,-0.150255234,0.03011,-18.094908,0,0,right_shoulder_roll_joint,55,0,4,WaistPitch,0.3592
15,1,0.050987321,1.934755,20.0,-0.149337137,0.031515,-18.09676,0,0,right_shoulder_roll_joint,55,0,4,WaistPitch,0.3593
16,1,0.056215996,22.648932,20.0,-0.145614605,-0.289395,2.938327,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4951
17,1,0.061113819,22.753609,20.0,-0.141100741,-0.262903,3.016512,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4935
18,1,0.065706618,22.848189,20.0,-0.138250145,-0.243146,3.091334,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.492
19,1,0.070069213,22.935034,20.0,-0.13580104,-0.225515,3.16055,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4906
20,1,0.07422994,23.01569,20.0,-0.134087601,-0.210957,3.226647,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4891
21,1,0.078230039,23.091613,20.0,-0.129866162,-0.188894,3.280507,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4875
22,1,0.081951126,23.160432,20.0,-0.126159643,-0.16903,3.329462,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4861
23,1,0.085431641,23.223953,20.0,-0.122678483,-0.150539,3.374492,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4847
24,1,0.088689096,23.282771,20.0,-0.11955733,-0.133935,3.416706,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4833
25,1,0.091745956,23.337439,20.0,-0.115357131,-0.115846,3.453285,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4818
26,1,0.094455434,23.385127,20.0,-0.111179604,-0.098682,3.483809,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4805
27,1,0.09611631,23.426382,20.0,-0.1070322,-0.082423,3.508805,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4792
28,1,0.09757515,23.461663,20.0,-0.102921487,-0.067045,3.528708,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.478
29,1,0.098840344,23.491348,20.0,-0.098853281,-0.052526,3.543875,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4769
30,1,0.099920199,23.515753,20.0,-0.094832753,-0.038844,3.554596,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4758
31,1,0.10082292,23.535131,20.0,-0.090864519,-0.025973,3.561105,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4748
32,1,0.101556592,23.549692,20.0,-0.086952712,-0.013891,3.563583,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4739
33,1,0.102129166,23.559597,20.0,-0.08310104,-0.002573,3.562171,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.473
34,1,0.102548453,23.564976,20.0,-0.079312837,0.008005,3.556971,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4721
35,1,0.10282211,23.565925,20.0,-0.075591098,0.017869,3.548056,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4713
36,1,0.102957638,23.562514,20.0,-0.071938519,0.027043,3.535471,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4705
37,1,0.102962374,23.554788,20.0,-0.068357521,0.035552,3.519236,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4698
38,1,0.102843487,23.542775,20.0,-0.064850268,0.043419,3.499356,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4691
39,1,0.102607975,23.526486,20.0,-0.061418694,0.050671,3.475815,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4684
40,1,0.102262665,23.505917,20.0,-0.058064251,0.057331,3.448586,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4678
41,1,0.101814197,23.481053,20.0,-0.054788324,0.063425,3.417628,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4673
42,1,0.101269032,23.451868,20.0,-0.051592252,0.068975,3.382893,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4668
43,1,0.100633456,23.418331,20.0,-0.048477191,0.074005,3.344326,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4663
44,1,0.099779041,23.380402,20.0,-0.045444115,0.078537,3.301865,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4659
45,1,0.098570126,23.338037,20.0,-0.04249383,0.082594,3.255443,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4655
46,1,0.097303364,23.291187,20.0,-0.039626977,0.086197,3.20499,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4651
47,1,0.095983476,23.239803,20.0,-0.036844037,0.089367,3.150436,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4649
48,1,0.094615039,23.183834,20.0,-0.034145339,0.092126,3.091708,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4646
49,1,0.093202488,23.123225,20.0,-0.031531063,0.094493,3.028732,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4644
50,1,0.091750113,23.057925,20.0,-0.029001248,0.096489,2.961436,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4643
51,1,0.090262063,22.987883,20.0,-0.026555793,0.098133,2.88975,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4642
52,1,0.088742341,22.913048,20.0,-0.024194466,0.099444,2.813605,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4641
53,1,0.08719481,22.833375,20.0,-0.021843082,0.100442,2.732933,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4641
54,1,0.08562204,22.743557,20.0,-0.020186896,0.098135,2.645422,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4644
55,1,0.084047487,22.64707,20.0,-0.018198208,0.098402,2.548668,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.465
56,1,0.082459708,22.543788,20.0,-0.016479921,0.097519,2.446269,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4657
57,1,0.080868195,22.433455,20.0,-0.014628534,0.097893,2.335563,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4667
58,1,0.079268482,22.315932,20.0,-0.012851762,0.098019,2.217914,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4678
59,1,0.077663207,22.191698,20.0,-0.01113799,0.097999,2.093699,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4691
60,1,0.076054576,22.061012,20.0,-0.009502139,0.097824,1.963188,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4705
61,1,0.074445248,21.923996,20.0,-0.007940215,0.097496,1.826501,0,0,right_wrist_pitch_joint,75,0,7,RightShoulderPitch,0.4721
