algo,eta,steps,min_clearance,collision,attack_succeeds,reached_final,contact_leg,engaged_steps,warmup_giveups,episode_giveups,giveups_instrumented
ssa,0.004,179,-8.873e-05,1,1,0,2,154,0,0,1
ssa,0.005,216,0.001079542,0,0,1,,177,0,0,1
ssa,0.01,217,0.002524311,0,0,1,,174,0,0,1
ssa,0.05,228,0.013746972,0,0,1,,136,0,0,1
ssa,0.5,233,0.02015197,0,0,1,,52,0,0,1
ssa,1,239,0.021572555,0,0,1,,34,10,0,1
ssa,2,251,0.02610704,0,0,1,,22,10,0,1
ssa,3,261,0.027564602,0,0,1,,16,10,0,1
ssa,4,289,0.031760605,0,0,1,,14,10,0,1
ssa,5,322,0.033315292,0,0,1,,13,10,0,1
ssa,10,900,0.039449444,0,0,0,,17,10,0,1
ssa,15,900,0.039449444,0,0,0,,15,10,0,1
ssa,20,687,-0.000796154,1,1,0,1,98,10,87,1
ssa,50,85,-0.000716425,1,1,0,2,74,10,73,1
ssa,100,85,-0.000716425,1,1,0,2,74,10,73,1
ssa,200,85,-0.000716425,1,1,0,2,74,10,73,1
ssa,1000,85,-0.000716425,1,1,0,2,74,10,73,1
ssa,10000,85,-0.000716425,1,1,0,2,74,10,74,1
