step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.002728780175,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.190842436,-1.785843828,1.289031766,-0.976326799,1.605765425,4.103693522,4.861848629,0.064181493,1.094109528,0.348328498,-1.500025709,1.286981908,0.904570850,1.770841040,0.010064514,0.111192357,0.090580970,1423.299909958,79
1,0.010000,1,0.002734233865,0,0.249897987,0.240601918,0.915748500,0.000104583,0.000073338,-0.000098102,0.000161060,0.000161060,0.249804685,-0.240462134,0.915837783,0.000011281,0.000056446,-0.000008820,0.000058234,0.000058234,-0.000342725,-0.000083525,0.000074604,-0.000111926,0.500321751,0.000144080,0.000598572,0.000022994,0.000153706,0.000018529,-0.000444547,-0.499602193,0.000278485,0.000208319,0.000000843,0.000002159,0.000026660,-2.052674541,-0.695706090,-0.324052412,1.216898521,1.563137401,1.080105257,5.427494298,0.213382314,1.399462507,0.161400296,-2.931652197,2.768143161,2.135967401,2.397188517,0.007947570,0.011913824,0.247934023,0.016279810,3
2,0.020000,1,0.002744106551,0,0.250079402,0.240805560,0.915555276,0.000181415,0.000203642,-0.000193224,0.000334240,0.000495300,0.249802099,-0.240414700,0.915814016,-0.000002585,0.000047434,-0.000023767,0.000053119,0.000111352,-0.000904534,-0.000345634,0.000278111,-0.000321485,0.500804079,0.000698529,0.001683328,0.000052406,0.000416822,0.000071891,-0.001039096,-0.499075689,0.000647426,0.000593723,0.000002692,0.000015438,0.000062379,-1.938938738,-0.676265354,-0.263184719,1.113979737,1.497122303,1.042181271,5.140004307,0.200744960,1.323202864,0.155609289,-2.795389927,2.695109008,2.036963942,2.288935905,0.007978322,0.008009196,0.234687884,0.015882498,3
3,0.030000,1,0.002757837331,0,0.250277233,0.241089441,0.915230285,0.000197831,0.000283881,-0.000324991,0.000474705,0.000970005,0.249804808,-0.240325662,0.915782545,0.000002709,0.000089038,-0.000031470,0.000094474,0.000205827,-0.001671610,-0.000677314,0.000449212,-0.000409354,0.501442720,0.001360989,0.003310835,0.000103156,0.000819885,0.000141393,-0.001926810,-0.498272370,0.001229965,0.001218845,0.000005336,0.000029908,0.000122891,-1.828975363,-0.656261897,-0.204558321,1.015161505,1.428801144,1.010822077,4.860648948,0.187919235,1.247917046,0.150865062,-2.658884740,2.622236990,1.940275204,2.179041460,0.008221653,0.001454432,0.221755078,0.015390549,3
4,0.040000,1,0.002776325915,0,0.250491151,0.241450062,0.914780525,0.000213918,0.000360622,-0.000449760,0.000614892,0.001584898,0.249813633,-0.240195202,0.915742483,0.000008824,0.000130460,-0.000040062,0.000136758,0.000342584,-0.002632580,-0.001076620,0.000593996,-0.000385824,0.502231073,0.002127667,0.005452341,0.000173980,0.001355268,0.000226456,-0.003094064,-0.497199540,0.002016200,0.002072860,0.000008778,0.000045179,0.000206871,-1.728764603,-0.644566961,-0.153136669,0.919026317,1.358891687,0.984002871,4.590181918,0.175076198,1.173996964,0.146820671,-2.519892551,2.555239304,1.847142098,2.061805548,0.008613233,-0.003906182,0.208620029,0.014809431,2
5,0.050000,1,0.002800412337,0,0.250720657,0.241884089,0.914212890,0.000229506,0.000434026,-0.000567635,0.000750507,0.002335405,0.249829345,-0.240023427,0.915693073,0.000015712,0.000171776,-0.000049410,0.000179430,0.000522014,-0.003776448,-0.001541552,0.000718323,-0.000260779,0.503162307,0.002995427,0.008079912,0.000263597,0.002015443,0.000326606,-0.004527206,-0.495864486,0.002996462,0.003144780,0.000013041,0.000060595,0.000313027,-1.531076442,-0.686616540,-0.305190543,0.164496783,0.566400298,1.398099307,4.966033679,-0.031546941,1.509637458,0.086448453,-2.264455368,2.484093774,1.621780298,2.035022515,0.023439410,0.308781758,0.180969089,0.014172987,2
6,0.060000,1,0.002830593788,0,0.250965255,0.242388219,0.913534068,0.000244598,0.000504131,-0.000678822,0.000880213,0.003215618,0.249852438,-0.239810311,0.915633979,0.000023093,0.000213116,-0.000059094,0.000222359,0.000744374,-0.005093192,-0.002070942,0.000827337,-0.000043831,0.504229430,0.003961587,0.011166502,0.000370721,0.002793018,0.000441438,-0.006212337,-0.494273908,0.004161439,0.004422881,0.000018167,0.000075621,0.000440046,-1.386206217,-0.747142591,-0.201428710,-0.155747280,0.259123222,1.677796381,4.739264823,-0.038559896,1.382613110,0.097294458,-1.971994048,2.387110601,1.467376094,1.807455490,0.018694047,0.167783989,0.161350422,0.013647140,2
7,0.070000,1,0.002865703798,0,0.251232800,0.242963852,0.912751410,0.000267544,0.000575633,-0.000782658,0.001007714,0.004223332,0.249881720,-0.239559181,0.915565672,0.000029282,0.000251130,-0.000068307,0.000261896,0.001006270,-0.006563044,-0.002668992,0.000905832,0.000189566,0.505353193,0.005067558,0.014749695,0.000474690,0.003721556,0.000564914,-0.008123913,-0.492434921,0.005488593,0.005904484,0.000025636,0.000121524,0.000585161,-1.919383495,-0.525096848,-0.480619590,1.117320768,1.165425545,1.381516378,3.806929520,0.076368734,1.083125749,0.115972138,-2.777728579,2.628726217,1.734032319,2.333399817,0.054561680,0.629758748,0.179387661,0.013163509,2
8,0.080000,1,0.002905291039,0,0.251526338,0.243610613,0.911874523,0.000293538,0.000646760,-0.000876887,0.001128448,0.005351780,0.249916231,-0.239269291,0.915488990,0.000034511,0.000289890,-0.000076681,0.000301840,0.001308110,-0.008171517,-0.003341757,0.000964183,0.000407389,0.506502868,0.006341308,0.018806814,0.000574804,0.004788355,0.000698120,-0.010232689,-0.490357223,0.006962486,0.007566832,0.000034975,0.000184207,0.000746411,-1.373382796,-0.735131589,-0.059558316,0.021780020,0.372655793,1.490061847,4.061580792,0.066664411,1.066073146,0.120459283,-1.849012057,2.297447468,1.332339941,1.600043660,0.017414974,-0.006512235,0.150262844,0.012717268,2
9,0.090000,1,0.002948856155,0,0.251831219,0.244319299,0.910913097,0.000304881,0.000708686,-0.000961426,0.001232691,0.006584471,0.249957370,-0.238947338,0.915405430,0.000041139,0.000321952,-0.000083561,0.000335154,0.001643264,-0.009971927,-0.004067032,0.000974473,0.000736944,0.507769086,0.007753209,0.023244627,0.000682554,0.005963468,0.000842923,-0.012619238,-0.488016652,0.008609781,0.009462520,0.000049769,0.000309865,0.000925600,-1.361836017,-0.624390748,0.033173118,0.432267885,0.841154580,0.928167572,3.554467187,0.122259109,0.926169529,0.119898835,-1.842130528,2.253808211,1.235649769,1.388198271,0.014976802,-0.018749726,0.158821303,0.012298929,2
