step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.002728780175,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.190842436,-1.785843828,1.289031766,-0.976326799,1.605765425,4.103693522,4.861848629,0.064181493,1.094109528,0.348328498,-1.500025709,1.286981908,0.904570850,1.770841040,0.010064514,0.111192357,0.090580970,1423.299909958,79
1,0.010000,1,0.002734233865,0,0.249897987,0.240601918,0.915748500,0.000104583,0.000073338,-0.000098102,0.000161060,0.000161060,0.249804685,-0.240462134,0.915837783,0.000011281,0.000056446,-0.000008820,0.000058234,0.000058234,-0.000342725,-0.000083525,0.000074604,-0.000111926,0.500321751,0.000144080,0.000598572,0.000022994,0.000153706,0.000018529,-0.000444547,-0.499602193,0.000278485,0.000208319,0.000000843,0.000002159,0.000026660,-1.670333792,-0.293106852,0.098036434,1.003253230,0.805885694,5.677693815,5.847598141,0.086312191,1.864372447,0.572502089,0.807753591,-1.485574658,-0.620790024,1.412676086,-0.171030766,0.116097837,-0.054014889,0.016279810,3
2,0.020000,1,0.002744106551,0,0.250079402,0.240805560,0.915555276,0.000181415,0.000203642,-0.000193224,0.000334240,0.000495300,0.249802099,-0.240414700,0.915814016,-0.000002585,0.000047434,-0.000023767,0.000053119,0.000111352,-0.000904534,-0.000345634,0.000278111,-0.000321485,0.500804079,0.000698529,0.001683328,0.000052406,0.000416822,0.000071891,-0.001039096,-0.499075689,0.000647426,0.000593723,0.000002692,0.000015438,0.000062379,-1.638807008,-0.176304149,0.162766936,1.563447884,1.672209415,3.942502118,5.316600261,0.122519316,1.546428271,0.405266291,0.845709772,-1.328398947,-0.780913658,1.277120909,-0.118284004,-0.183284747,-0.047955185,0.014552867,3
3,0.030000,1,0.002771172009,0,0.250274287,0.241191145,0.915270363,0.000194885,0.000385584,-0.000284913,0.000517524,0.001012824,0.249742390,-0.240467112,0.915767776,-0.000059709,-0.000052412,-0.000046240,0.000091926,0.000203278,-0.001633376,-0.000637054,0.000491421,-0.000430718,0.501366995,0.001820748,0.003352845,0.000090449,0.000866376,0.000182504,-0.001552870,-0.498697741,0.000954289,0.001120393,-0.000012562,0.000040326,0.000092696,-2.301469075,-0.140064553,-0.181924517,2.415923156,1.942484493,3.634745364,4.997067523,0.102989615,1.537107621,0.347438193,-0.263420639,-1.160294955,0.335925941,1.901871555,-0.226806118,0.396522065,0.007429359,0.012656092,3
4,0.040000,1,0.002817036111,0,0.250471283,0.241730665,0.914882909,0.000196996,0.000539520,-0.000387454,0.000692828,0.001705652,0.249625988,-0.240617761,0.915699302,-0.000116402,-0.000150650,-0.000068474,0.000202320,0.000405598,-0.002526099,-0.000946104,0.000721009,-0.000383607,0.502097132,0.003337217,0.005554021,0.000140744,0.001470573,0.000333642,-0.001982073,-0.498452634,0.001183061,0.001774776,-0.000039644,0.000046886,0.000118217,-1.416795774,-0.100464306,0.273946262,1.474220019,1.742042716,2.946351160,5.046614523,0.179375570,1.481914193,0.336418176,0.809278360,-1.241699076,-0.808374168,0.885539387,-0.115231789,-0.244277847,-0.042387085,0.011027528,2
5,0.050000,1,0.002878889355,0,0.250665950,0.242407144,0.914388201,0.000194666,0.000676479,-0.000494708,0.000860381,0.002566032,0.249455901,-0.240857965,0.915610253,-0.000170087,-0.000240204,-0.000089049,0.000307501,0.000713099,-0.003648969,-0.001269161,0.000932403,-0.000094903,0.503021517,0.005217160,0.008254905,0.000201338,0.002228480,0.000519525,-0.002437617,-0.498323556,0.001445424,0.002619347,-0.000089407,0.000093098,0.000144482,-1.150081154,-0.350442374,0.297972283,0.678366027,1.164577891,3.143591109,5.251365837,0.004887491,1.729686979,0.292250898,1.013566627,-1.464450208,-0.770387482,0.816107866,-0.118865165,-0.062512594,-0.047377949,0.009304265,2
6,0.060000,1,0.002957584456,0,0.250858349,0.243217921,0.913788116,0.000192399,0.000810777,-0.000600085,0.001026878,0.003592911,0.249235859,-0.241185647,0.915503251,-0.000220043,-0.000327682,-0.000107002,0.000408954,0.001122054,-0.004913518,-0.001602264,0.001171193,0.000341223,0.504120107,0.007391739,0.011460449,0.000279869,0.003134579,0.000739050,-0.002812235,-0.498318648,0.001626951,0.003552471,-0.000150693,0.000114882,0.000166507,-1.070333023,-0.475161284,0.317711629,1.623222987,3.007928709,0.404013774,3.747262881,0.371864350,1.151468416,0.181802511,1.453244456,-1.614563579,-0.978412070,0.687387422,-0.134551911,-0.023208172,-0.078674196,0.007892679,2
7,0.070000,1,0.003049878788,0,0.251056444,0.244164165,0.913085827,0.000198095,0.000946244,-0.000702290,0.001194918,0.004787829,0.248967999,-0.241596530,0.915380530,-0.000267859,-0.000410883,-0.000122722,0.000505603,0.001627656,-0.006293076,-0.001970411,0.001439780,0.000845185,0.505335155,0.009880676,0.015191131,0.000358889,0.004213646,0.000987799,-0.003085495,-0.498460185,0.001731439,0.004567206,-0.000223866,0.000130415,0.000183795,-1.030480869,-0.372765867,0.288167475,1.292995400,2.465766247,0.444359794,4.327522602,0.265608145,1.237660393,0.062137862,1.030842345,-1.423291810,-0.755614504,0.628935989,-0.128055430,-0.072806043,-0.059373930,0.006321275,2
8,0.080000,1,0.003157315236,0,0.251240711,0.245206608,0.912277747,0.000184268,0.001042443,-0.000808080,0.001331779,0.006119608,0.248645074,-0.242096550,0.915240542,-0.000322926,-0.000500020,-0.000139988,0.000611471,0.002239128,-0.007779667,-0.002386075,0.001740137,0.001511470,0.506850995,0.012410015,0.019296538,0.000475096,0.005407861,0.001254729,-0.003213431,-0.498763178,0.001738085,0.005650679,-0.000310494,0.000143627,0.000193216,-0.843563627,-0.407937072,0.344002320,1.524614745,3.215876728,-1.360239671,3.987290934,0.450379507,1.131236144,-0.001923533,1.160125866,-1.505975440,-0.820096949,0.444365461,-0.134048055,-0.178433363,-0.058414863,0.005020100,2
9,0.090000,1,0.003277035985,0,0.251414334,0.246341872,0.911358203,0.000173623,0.001135264,-0.000919544,0.001471234,0.007590842,0.248275951,-0.242673510,0.915088913,-0.000369122,-0.000576960,-0.000151629,0.000701516,0.002940644,-0.009369306,-0.002839015,0.002069312,0.002307054,0.508613412,0.014983790,0.023834698,0.000617863,0.006725841,0.001527873,-0.003238283,-0.499208501,0.001669171,0.006797047,-0.000409927,0.000149559,0.000196699,-1.504444453,-0.376607322,0.107700978,2.097330642,2.636419351,0.747951195,3.016221405,0.252316162,0.824275672,0.146047049,0.414736855,-3.706992277,1.634815924,1.029170182,0.024942344,0.130683489,0.356796442,0.003824563,2
10,0.100000,1,0.003407878680,0,0.251568013,0.247545887,0.910314707,0.000153680,0.001204015,-0.001043496,0.001600673,0.009191515,0.247862610,-0.243323516,0.914928489,-0.000413341,-0.000650007,-0.000160423,0.000786826,0.003727470,-0.011043301,-0.003332748,0.002432887,0.003255100,0.510697417,0.017421541,0.028771587,0.000805669,0.008156945,0.001800824,-0.003147122,-0.499804421,0.001518246,0.007987850,-0.000522765,0.000137647,0.000194340,-0.408005610,-0.457068072,0.304538925,1.220869452,3.672182262,-4.110368447,3.985584014,0.547420253,1.146896250,-0.223799599,0.946350754,-0.585456895,-1.291900917,0.195871521,-0.129369800,-0.208611434,-0.108527818,0.003047668,2
11,0.110000,1,0.003545634426,0,0.251703848,0.248830971,0.909183964,0.000135834,0.001285083,-0.001130743,0.001717111,0.010908626,0.247401471,-0.244047473,0.914759844,-0.000461139,-0.000723957,-0.000168645,0.000874759,0.004602229,-0.012867741,-0.003864143,0.002807232,0.004412878,0.513045064,0.019934087,0.034010098,0.001018706,0.009670477,0.002088380,-0.003014487,-0.500771040,0.001530803,0.009281571,-0.000633109,0.000138804,0.000227661,-1.507236974,-0.545981283,-0.007277272,3.313042823,4.718957549,-1.979764787,1.932013110,0.352159597,0.540625794,-0.203024134,0.024801959,-3.053349983,1.667804921,1.080443843,0.046357528,0.432424136,0.414902743,0.002536828,2
12,0.120000,1,0.003689681978,0,0.251812767,0.250142906,0.907910580,0.000108920,0.001311935,-0.001273384,0.001831541,0.012740167,0.246909940,-0.244823900,0.914592203,-0.000491531,-0.000776427,-0.000167641,0.000934101,0.005536331,-0.014732981,-0.004441244,0.003212031,0.005692744,0.515759929,0.022035597,0.039647167,0.001286485,0.011298698,0.002353556,-0.002787218,-0.501796205,0.001414170,0.010594879,-0.000756390,0.000119099,0.000250130,-0.709105824,-0.362326762,0.334395160,0.887246841,2.149568548,-2.178908385,4.457304736,0.242054495,1.222462001,-0.236976494,0.356585352,-0.615509372,-0.754962109,0.233925526,-0.093246559,-0.324885876,-0.062242798,0.002789469,2
