step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.009244748503,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.114731698,-1.804750320,1.308910491,-0.976295387,1.605846924,4.103753952,4.861803823,0.064181493,1.094107145,0.348334684,-1.546203848,1.303754944,0.922730014,1.766931487,0.010064514,0.121926177,0.090583593,141.818156104,78
1,0.010000,1,0.009246125798,0,0.249878956,0.240627039,0.915732399,0.000085552,0.000098459,-0.000114204,0.000173366,0.000173366,0.249845249,-0.240431007,0.915859403,0.000051845,0.000087573,0.000012801,0.000102571,0.000102571,-0.000252864,-0.000117302,0.000106421,-0.000112349,0.500321828,0.000144149,0.000598638,0.000022994,0.000153719,0.000018535,-0.000525866,-0.499610292,0.000282292,0.000199181,0.000000843,0.000004318,0.000026665,-2.320024304,-1.014230375,0.936580270,-1.015324549,2.961085912,1.186175336,5.429372240,0.212670907,1.398907192,0.161985267,-4.886102159,3.641738506,2.625781251,1.791746081,0.008144026,0.027563376,0.247853270,0.010714103,2
2,0.020000,1,0.009250155428,0,0.250039619,0.240857864,0.915522089,0.000160662,0.000230826,-0.000210310,0.000351174,0.000524540,0.249886147,-0.240349412,0.915857906,0.000040898,0.000081594,-0.000001497,0.000091282,0.000193854,-0.000717201,-0.000415079,0.000343732,-0.000322328,0.500804240,0.000698674,0.001683456,0.000052406,0.000416849,0.000071902,-0.001206353,-0.499090208,0.000656856,0.000575056,0.000002692,0.000020829,0.000062389,-2.223466347,-0.952911733,0.879231013,-0.961489842,2.794182364,1.147776490,5.138971824,0.199384314,1.321106149,0.157116242,-4.612699750,3.463148420,2.482820479,1.689782455,0.008356758,0.019436181,0.234390809,0.010694706,2
3,0.030000,1,0.009255806202,0,0.250277988,0.241174920,0.915209207,0.000238369,0.000317056,-0.000312882,0.000505212,0.001029752,0.249975862,-0.240184963,0.915868995,0.000089715,0.000164449,0.000011089,0.000187657,0.000381511,-0.001413541,-0.000814278,0.000674702,-0.000633839,0.501582761,0.001371816,0.003311212,0.000103084,0.000819870,0.000141469,-0.002375450,-0.498205951,0.001293999,0.001130105,0.000005355,0.000040096,0.000122898,-2.125235313,-0.897188042,0.826735778,-0.911214906,2.621687081,1.128600350,4.852042145,0.184902191,1.242074029,0.154743443,-4.345878396,3.289369560,2.339564182,1.584245512,0.009030818,0.007502303,0.220826532,0.010670887,2
4,0.040000,1,0.009263391142,0,0.250590285,0.241573259,0.914800176,0.000312298,0.000398338,-0.000409030,0.000650776,0.001680528,0.250111155,-0.239942323,0.915892011,0.000135293,0.000242640,0.000023016,0.000278762,0.000660273,-0.002332227,-0.001308769,0.001093595,-0.001041499,0.502640700,0.002159736,0.005452865,0.000173702,0.001355002,0.000226747,-0.004005817,-0.496975379,0.002179424,0.001854133,0.000008855,0.000061306,0.000206846,-1.908627575,-0.860843091,0.589721467,-1.342114311,1.924165480,1.641066070,4.882647452,0.011950594,1.413576801,0.103322781,-4.005730185,3.184656172,2.035329802,1.659806417,0.024152349,0.244143887,0.196324205,0.010642920,2
5,0.050000,1,0.009273158383,0,0.250972749,0.242048386,0.914301455,0.000382464,0.000475127,-0.000498721,0.000787875,0.002468403,0.250289083,-0.239625811,0.915926638,0.000177928,0.000316512,0.000034627,0.000364742,0.001025015,-0.003463437,-0.001892979,0.001595161,-0.001540281,0.503960807,0.003060515,0.008079722,0.000262809,0.002014340,0.000327500,-0.006070772,-0.495415869,0.003298805,0.002736585,0.000013257,0.000083267,0.000312876,-2.213183743,-0.370273122,0.561506123,-1.326603598,1.981557205,1.111173657,6.038542513,0.216552902,1.638605498,0.159016425,-4.588373744,3.399276930,2.325087065,1.706998853,0.018320231,-0.047571154,0.253789808,0.010608386,2
6,0.060000,1,0.009285558956,0,0.251426499,0.242602963,0.913727605,0.000453750,0.000554578,-0.000573850,0.000918014,0.003386417,0.250506471,-0.239242632,0.915971494,0.000217388,0.000383179,0.000044856,0.000442827,0.001467842,-0.004785510,-0.002563273,0.002155700,-0.002173274,0.505473332,0.004125402,0.011194844,0.000353112,0.002815037,0.000438584,-0.008536300,-0.493537895,0.004621719,0.003785017,0.000020075,0.000129642,0.000438539,-1.915519515,-0.543628656,0.661503559,-1.031940047,1.886208309,1.227531188,4.783773738,0.107644132,1.162418107,0.148236509,-3.886769255,2.979430223,1.983499748,1.270888875,0.007338629,-0.149216216,0.207985649,0.010515771,2
7,0.070000,1,0.009306110554,0,0.251956554,0.243229398,0.913060248,0.000530055,0.000626434,-0.000667357,0.001057707,0.004444124,0.250768110,-0.238788671,0.916026097,0.000261639,0.000453962,0.000054604,0.000526799,0.001994642,-0.006328901,-0.003270595,0.002772389,-0.002938927,0.507184012,0.005301406,0.014913820,0.000465070,0.003779594,0.000565571,-0.011460666,-0.491319992,0.006177142,0.005004150,0.000028724,0.000171261,0.000589581,-1.600118122,-0.836776815,0.738277477,-0.704707672,2.010532887,1.093399143,3.290639327,0.141614064,0.925679677,0.134677329,-3.081061325,2.586204171,1.594407330,0.935464064,0.022952096,0.096985893,0.152783761,0.010456369,2
8,0.080000,1,0.009330720774,0,0.252551480,0.243923150,0.912316321,0.000594925,0.000693752,-0.000743928,0.001178413,0.005622536,0.251068730,-0.238268790,0.916094056,0.000300620,0.000519881,0.000067959,0.000604373,0.002599015,-0.008063844,-0.004032279,0.003455229,-0.003807774,0.509083313,0.006600163,0.019111173,0.000587792,0.004860393,0.000707381,-0.014773708,-0.488804146,0.007930914,0.006350371,0.000038108,0.000197957,0.000761422,-1.501761757,-0.792955262,0.702169971,-0.675918287,1.866236776,1.056715414,3.063968601,0.132273842,0.852208244,0.133465413,-2.858763493,2.431741895,1.469863858,0.832540756,0.023034693,0.065344463,0.140539695,0.010421408,2
9,0.090000,1,0.009356601799,0,0.253199166,0.244677805,0.911511649,0.000647687,0.000754655,-0.000804672,0.001279257,0.006901794,0.251401055,-0.237690604,0.916174987,0.000332325,0.000578186,0.000080931,0.000671780,0.003270795,-0.009958799,-0.004877641,0.004211896,-0.004747093,0.511183667,0.008008259,0.023637590,0.000724676,0.006033759,0.000862659,-0.018394856,-0.486029680,0.009844128,0.007790139,0.000049786,0.000234352,0.000948541,-1.403517061,-0.750114392,0.665276374,-0.656107453,1.726797045,1.012664183,2.855553178,0.122231860,0.786044446,0.130168110,-2.646073527,2.279890800,1.350411751,0.733629577,0.022705822,0.035673926,0.128831559,0.010432296,2
