step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.009244748503,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.114731698,-1.804750320,1.308910491,-0.976295387,1.605846924,4.103753952,4.861803823,0.064181493,1.094107145,0.348334684,-1.546203848,1.303754944,0.922730014,1.766931487,0.010064514,0.121926177,0.090583593,141.818156104,78
1,0.010000,1,0.009246125798,0,0.249878956,0.240627039,0.915732399,0.000085552,0.000098459,-0.000114204,0.000173366,0.000173366,0.249845249,-0.240431007,0.915859403,0.000051845,0.000087573,0.000012801,0.000102571,0.000102571,-0.000252864,-0.000117302,0.000106421,-0.000112349,0.500321828,0.000144149,0.000598638,0.000022994,0.000153719,0.000018535,-0.000525866,-0.499610292,0.000282292,0.000199181,0.000000843,0.000004318,0.000026665,-1.344373292,-2.357768176,1.688974888,-1.212851637,1.650772250,3.468049211,2.277417470,0.014147129,0.854606171,0.487198550,1.273194217,-4.852378496,-1.635896386,3.871382919,-0.790830090,1.891489410,-0.236130574,0.010714103,2
2,0.020000,1,0.009250155428,0,0.250039619,0.240857864,0.915522089,0.000160662,0.000230826,-0.000210310,0.000351174,0.000524540,0.249886147,-0.240349412,0.915857906,0.000040898,0.000081594,-0.000001497,0.000091282,0.000193854,-0.000717201,-0.000415079,0.000343732,-0.000322328,0.500804240,0.000698674,0.001683456,0.000052406,0.000416849,0.000071902,-0.001206353,-0.499090208,0.000656856,0.000575056,0.000002692,0.000020829,0.000062389,-1.277551117,-2.231288586,1.600645699,-1.151608281,1.565289924,3.284711524,2.155906026,0.013378142,0.808525527,0.461512209,1.220092396,-4.612818786,-1.545834551,3.684459179,-0.752846161,1.798946731,-0.223764303,0.010742534,2
3,0.030000,1,0.009250934471,0,0.250267262,0.241200144,0.915246597,0.000227643,0.000342280,-0.000275492,0.000494846,0.001019386,0.249878181,-0.240461391,0.915812649,-0.000007966,-0.000111979,-0.000045257,0.000121041,0.000314895,-0.001315976,-0.000948632,0.000749942,-0.000653592,0.501451729,0.001600003,0.002996017,0.000083232,0.000765440,0.000173990,-0.001759521,-0.499055363,0.000867831,0.001338069,-0.000074542,0.000226488,0.000074499,-1.221270651,-2.106042510,1.509004032,-1.081585583,1.487626403,3.108103636,2.046462784,0.013146101,0.766969182,0.437030017,1.152630984,-4.372587633,-1.469199392,3.493094619,-0.712629831,1.702554318,-0.213503480,0.010767973,2
4,0.040000,1,0.009249146000,0,0.250558449,0.241647554,0.914909353,0.000291186,0.000447410,-0.000337244,0.000631426,0.001650812,0.249822910,-0.240757812,0.915725461,-0.000055271,-0.000296420,-0.000087188,0.000313882,0.000628776,-0.002042506,-0.001705315,0.001316215,-0.001100016,0.502255748,0.002829804,0.004524167,0.000115396,0.001194883,0.000322229,-0.002190679,-0.499481799,0.000924222,0.002469528,-0.000227060,0.000612043,0.000064233,-1.174617327,-1.981726966,1.415098749,-1.003833794,1.417118397,2.938106138,1.948115596,0.013387159,0.729572069,0.413706862,1.072734744,-4.132132952,-1.404628187,3.298514782,-0.670515206,1.602998124,-0.205148718,0.010793804,2
5,0.050000,1,0.009245061113,0,0.250909769,0.242193950,0.914513438,0.000351320,0.000546396,-0.000395915,0.000760739,0.002411551,0.249721535,-0.241230080,0.915599474,-0.000101374,-0.000472268,-0.000125986,0.000499186,0.001127962,-0.002891163,-0.002672601,0.002033390,-0.001654599,0.503208529,0.004370415,0.006256964,0.000148875,0.001701023,0.000514171,-0.002506574,-0.500345494,0.000833694,0.003950296,-0.000450842,0.001167852,0.000032617,-1.136701040,-1.858232217,1.319880430,-0.919353044,1.353087133,2.774626523,1.859881076,0.014036089,0.695961017,0.391500626,0.982058870,-3.891903468,-1.350755157,3.101827843,-0.626837758,1.500937223,-0.198483564,0.010823053,2
6,0.060000,1,0.009238617898,0,0.251317853,0.242833370,0.914061623,0.000408085,0.000639420,-0.000451815,0.000882908,0.003294459,0.249574964,-0.241870082,0.915438905,-0.000146571,-0.000640002,-0.000160569,0.000675920,0.001803883,-0.003857281,-0.003838061,0.002892074,-0.002309566,0.504303022,0.006204837,0.008184573,0.000183693,0.002280121,0.000747484,-0.002715196,-0.501622402,0.000602703,0.005760916,-0.000741675,0.001883962,-0.000019514,-1.106606986,-1.735616864,1.224223092,-0.829115895,1.294850823,2.617587940,1.780775978,0.015027362,0.665760307,0.370370665,0.882019202,-3.652367868,-1.306225413,2.904037083,-0.581931048,1.397013759,-0.193280044,0.010858376,2
7,0.070000,1,0.009229493567,0,0.251779381,0.243560030,0.913556402,0.000461528,0.000726660,-0.000505221,0.000998144,0.004292603,0.249383871,-0.242670117,0.915248855,-0.000191093,-0.000800036,-0.000190050,0.000844211,0.002648094,-0.004937070,-0.005189343,0.003882746,-0.003056468,0.505532823,0.008316721,0.010298170,0.000219914,0.002928814,0.001019947,-0.002825611,-0.503288500,0.000236636,0.007881718,-0.001095192,0.002750165,-0.000091493,-1.083482802,-1.614063439,1.128897855,-0.734077992,1.241723521,2.466907112,1.709831996,0.016295847,0.638597461,0.350275085,0.773918377,-3.414033206,-1.269728742,2.706039859,-0.536125125,1.291842010,-0.189304198,0.010902045,2
8,0.080000,1,0.009217169823,0,0.252291089,0.244368330,0.913000026,0.000511707,0.000808300,-0.000556377,0.001106683,0.005399287,0.249148768,-0.243622832,0.915035135,-0.000235103,-0.000952715,-0.000213720,0.001004298,0.003652392,-0.006127519,-0.006714188,0.004995840,-0.003886281,0.506892110,0.010690364,0.012589844,0.000257638,0.003644084,0.001329447,-0.002847825,-0.505319836,-0.000260053,0.010292924,-0.001506901,0.003756070,-0.000182801,-1.066420920,-1.493874502,1.034619737,-0.635204481,1.193022160,2.322483412,1.646100464,0.017777308,0.614105650,0.331169136,0.658963028,-3.177452143,-1.239984596,2.508650852,-0.489746058,1.186025618,-0.186319653,0.010955951,2
9,0.090000,1,0.009200991470,0,0.252849775,0.245252848,0.912394529,0.000558687,0.000884518,-0.000605497,0.001208772,0.006608058,0.248870060,-0.244721149,0.914804108,-0.000278707,-0.001098317,-0.000231027,0.001156439,0.004808831,-0.007426317,-0.008400438,0.006221824,-0.004789503,0.508375569,0.013310698,0.015052501,0.000296992,0.004423213,0.001673974,-0.002792647,-0.507692574,-0.000883716,0.012974735,-0.001972224,0.004891159,-0.000293039,-1.054521218,-1.375443098,0.942026965,-0.533484353,1.148065566,2.184180968,1.588658435,0.019408790,0.591926253,0.313002963,0.538365761,-2.943242256,-1.215769142,2.312609146,-0.443116050,1.080152089,-0.184092407,0.011021593,2
