step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.044321374076,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.067696831,-2.055288193,1.153833091,-0.976471944,1.605764151,4.103648793,4.861684694,0.064181493,1.094080523,0.348324077,-1.748421371,1.195353592,0.840054110,1.633942334,0.010064514,0.111236792,0.090568191,426.587032286,76
1,0.010000,1,0.044206931496,0,0.249864958,0.240645976,0.915719327,0.000071554,0.000117396,-0.000127276,0.000187352,0.000187352,0.249871000,-0.240414399,0.915941650,0.000077596,0.000104181,0.000095048,0.000160963,0.000160963,-0.000211681,-0.000227046,0.000054089,-0.000112506,0.500321899,0.000144191,0.000598584,0.000022994,0.000153707,0.000018537,-0.000622986,-0.499657969,0.000250565,0.000147987,0.000000843,0.000002177,0.000026659,-1.901296212,-2.055253605,0.461212974,-1.019128595,2.956536001,1.196830315,5.423634508,0.211775589,1.396422475,0.163345955,-5.817821199,3.186570863,2.327196527,1.311947229,0.008430379,0.008331678,0.247532970,-0.025661189,0
2,0.020000,1,0.044088779197,0,0.250009276,0.240898856,0.915493774,0.000144318,0.000252880,-0.000225553,0.000368307,0.000555659,0.249941736,-0.240313700,0.916042090,0.000070737,0.000100699,0.000100440,0.000158846,0.000319809,-0.000630131,-0.000659620,0.000223562,-0.000322659,0.500804374,0.000698746,0.001683336,0.000052406,0.000416823,0.000071906,-0.001420815,-0.499196403,0.000585136,0.000459369,0.000002692,0.000015479,0.000062374,-1.798382020,-1.951079084,0.441689659,-0.966805022,2.783377896,1.168792495,5.128963519,0.197606127,1.316450870,0.159723205,-5.512494711,3.024514097,2.198489574,1.233546830,0.008934643,0.000990152,0.233857029,-0.022290240,0
3,0.030000,1,0.043862268202,0,0.250217575,0.241256614,0.915152747,0.000208299,0.000357758,-0.000341027,0.000536357,0.001092017,0.250086709,-0.240113611,0.916232658,0.000144973,0.000200089,0.000190568,0.000312040,0.000631849,-0.001238711,-0.001297720,0.000439156,-0.000634725,0.501582503,0.001372985,0.003310451,0.000102995,0.000819581,0.000141609,-0.002800425,-0.498416180,0.001152426,0.000901945,0.000005384,0.000029613,0.000122843,-1.750207459,-1.426494614,0.272111392,-1.746027659,1.847333477,1.865685130,6.226209433,-0.018005825,1.726611865,0.151248927,-5.419636726,3.183318163,2.124586550,1.502996032,0.021146427,0.083619085,0.237347428,-0.018979876,0
4,0.040000,1,0.043533066075,0,0.250486266,0.241714099,0.914702710,0.000268690,0.000457485,-0.000450037,0.000695716,0.001787733,0.250302361,-0.239818788,0.916509030,0.000215652,0.000294823,0.000276372,0.000458048,0.001089896,-0.002027130,-0.002130928,0.000698919,-0.001043471,0.502638970,0.002164103,0.005450463,0.000173345,0.001353983,0.000227285,-0.004731285,-0.497333505,0.001939565,0.001467876,0.000008970,0.000043846,0.000206697,-1.479862759,-1.792615723,0.296664868,-1.221626273,2.003976549,1.597469522,4.701090770,0.091129012,1.282411379,0.127121231,-4.817935144,2.745480182,1.782472168,1.153088708,0.022180911,0.121435076,0.195014145,-0.016112960,0
5,0.050000,1,0.043119370369,0,0.250826849,0.242276806,0.914152382,0.000340584,0.000562707,-0.000550328,0.000857611,0.002645343,0.250586624,-0.239434686,0.916854089,0.000284262,0.000384102,0.000345059,0.000589411,0.001679307,-0.002990569,-0.003106785,0.000985893,-0.001626820,0.503880170,0.003141789,0.008213096,0.000241894,0.002061047,0.000328086,-0.007204109,-0.495932499,0.002939163,0.002184106,0.000014670,0.000066441,0.000314286,-1.638377241,-1.266264602,0.461525423,-1.103109874,2.090406161,1.115744369,5.165098239,0.129577295,1.273435587,0.153134612,-4.869196973,2.845224605,1.950305627,1.066750269,0.008560447,-0.146097571,0.225941605,-0.012942902,0
6,0.060000,1,0.042613959141,0,0.251223769,0.242935288,0.913513112,0.000396920,0.000658482,-0.000639270,0.000999905,0.003645248,0.250934618,-0.238966425,0.917277282,0.000347995,0.000468261,0.000423193,0.000720737,0.002400044,-0.004101994,-0.004261904,0.001302534,-0.002332332,0.505321768,0.004279223,0.011445838,0.000319557,0.002896352,0.000441599,-0.010158726,-0.494256945,0.004117008,0.003015646,0.000022588,0.000101180,0.000441377,-1.251864667,-1.763123255,0.447710664,-0.755756729,2.144525957,1.138020231,3.523883754,0.158541924,0.985605776,0.143207929,-4.139138192,2.341881917,1.470927347,0.629921044,0.023785995,0.087061207,0.164768702,-0.010132110,0
7,0.070000,1,0.042031875886,0,0.251678826,0.243678380,0.912776545,0.000455057,0.000743093,-0.000736567,0.001140962,0.004786210,0.251345273,-0.238413501,0.917764507,0.000410655,0.000552924,0.000487225,0.000843653,0.003243697,-0.005377257,-0.005543649,0.001665327,-0.003148155,0.506972407,0.005528231,0.015195089,0.000410177,0.003859001,0.000570426,-0.013600263,-0.492296868,0.005489884,0.003953860,0.000031363,0.000121309,0.000591062,-1.149499384,-1.669817006,0.444551135,-0.734445591,1.988264978,1.105385625,3.284148719,0.147584485,0.907359494,0.142228576,-3.866972398,2.194492695,1.352542694,0.542711525,0.023906858,0.054164223,0.151680445,-0.006935391,0
8,0.080000,1,0.041362921346,0,0.252177120,0.244503435,0.911959576,0.000498293,0.000825054,-0.000816969,0.001263507,0.006049717,0.251813619,-0.237781981,0.918328591,0.000468346,0.000631520,0.000564084,0.000967655,0.004211351,-0.006777707,-0.007001706,0.002072891,-0.004039553,0.508837498,0.006891040,0.019296729,0.000516651,0.004920210,0.000713573,-0.017455713,-0.490102603,0.007009852,0.004955067,0.000042516,0.000150144,0.000757223,-1.048269764,-1.576448831,0.439775392,-0.722885837,1.838859726,1.061178564,3.064655137,0.136049861,0.837105846,0.138522846,-3.604148542,2.048937146,1.240234170,0.460366184,0.023386964,0.023556475,0.139218024,-0.003809604,0
9,0.090000,1,0.040612411357,0,0.252715659,0.245405870,0.911067685,0.000538540,0.000902436,-0.000891892,0.001378364,0.007428080,0.252336874,-0.237075180,0.918966107,0.000523255,0.000706801,0.000637516,0.001086181,0.005297533,-0.008293106,-0.008626746,0.002524911,-0.005004396,0.510901415,0.008364389,0.023726784,0.000637884,0.006072156,0.000870943,-0.021697861,-0.487688888,0.008665075,0.006010544,0.000056060,0.000184396,0.000938553,-0.950964653,-1.484325577,0.432958481,-0.714043397,1.698853083,1.007858573,2.860180504,0.124770812,0.771959270,0.132990741,-3.352363588,1.905998317,1.135730551,0.384881859,0.022148564,-0.004380873,0.127500602,-0.000761707,0
