step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.044321374076,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.068997633,-2.053546688,1.153161719,-0.977283480,1.606201080,4.103997283,4.861410835,0.064181493,1.094019273,0.348352043,-1.747716225,1.195040820,0.839795521,1.634347654,0.010064514,0.111328471,0.090548654,141.816178942,76
1,0.010000,1,0.044206931496,0,0.249864958,0.240645976,0.915719327,0.000071554,0.000117396,-0.000127276,0.000187352,0.000187352,0.249871000,-0.240414399,0.915941650,0.000077596,0.000104181,0.000095048,0.000160963,0.000160963,-0.000211681,-0.000227046,0.000054089,-0.000112506,0.500321899,0.000144191,0.000598584,0.000022994,0.000153707,0.000018537,-0.000622986,-0.499657969,0.000250565,0.000147987,0.000000843,0.000002177,0.000026659,-1.901231171,-2.055340680,0.461246543,-1.019088018,2.956514155,1.196812891,5.423648201,0.211775589,1.396425537,0.163344556,-5.817856456,3.186586501,2.327209456,1.311926963,0.008430379,0.008327094,0.247533947,-0.025025593,0
2,0.020000,1,0.044088836685,0,0.250009319,0.240898816,0.915493867,0.000144361,0.000252840,-0.000225459,0.000368239,0.000555591,0.249941685,-0.240313767,0.916042046,0.000070686,0.000100632,0.000100395,0.000158753,0.000319715,-0.000630261,-0.000659446,0.000223495,-0.000322740,0.500804418,0.000698781,0.001683308,0.000052406,0.000416817,0.000071908,-0.001420744,-0.499196434,0.000585110,0.000459409,0.000002692,0.000015488,0.000062372,-1.798321701,-1.951161770,0.441719346,-0.966764455,2.783365166,1.168760685,5.128983442,0.197607448,1.316457267,0.159719932,-5.512532518,3.024531279,2.198505281,1.233533153,0.008934318,0.000988923,0.233858336,-0.023823201,0
3,0.030000,1,0.043862379961,0,0.250217659,0.241256536,0.915152929,0.000208340,0.000357720,-0.000340939,0.000536291,0.001091883,0.250086609,-0.240113742,0.916232572,0.000144924,0.000200025,0.000190526,0.000311950,0.000631666,-0.001238965,-0.001297380,0.000439025,-0.000634883,0.501582589,0.001373053,0.003310398,0.000102995,0.000819569,0.000141615,-0.002800288,-0.498416241,0.001152376,0.000902024,0.000005384,0.000029631,0.000122839,-1.726784945,-1.450600446,0.261423212,-1.761988974,1.834144221,1.873989491,6.195277942,-0.017363821,1.713210376,0.148967788,-5.395413020,3.159876636,2.106681279,1.503629932,0.020488006,0.082959210,0.234186492,-0.022568762,0
4,0.040000,1,0.043533228869,0,0.250486388,0.241713985,0.914702976,0.000268729,0.000457449,-0.000449953,0.000695652,0.001787535,0.250302215,-0.239818980,0.916508904,0.000215606,0.000294762,0.000276332,0.000457963,0.001089629,-0.002027501,-0.002130431,0.000698727,-0.001043702,0.502639096,0.002164201,0.005450386,0.000173345,0.001353966,0.000227293,-0.004731084,-0.497333594,0.001939492,0.001467992,0.000008970,0.000043873,0.000206692,-1.480952770,-1.791438229,0.297170454,-1.220985110,2.004457172,1.597145886,4.702907934,0.091034326,1.283180913,0.127224973,-4.819199843,2.746682461,1.783389820,1.153129526,0.022213884,0.121508416,0.195173455,-0.021386837,0
5,0.050000,1,0.043118898971,0,0.250826718,0.242276863,0.914153510,0.000340330,0.000562877,-0.000549466,0.000857070,0.002644605,0.250586417,-0.239435128,0.916854634,0.000284201,0.000383851,0.000345731,0.000589612,0.001679240,-0.002988715,-0.003108541,0.000984572,-0.001628721,0.503879017,0.003142748,0.008209901,0.000241959,0.002059685,0.000327868,-0.007201422,-0.495934960,0.002937276,0.002184323,0.000014604,0.000066410,0.000313963,-1.639238063,-1.264085818,0.462063431,-1.104041145,2.093724590,1.107910900,5.170361998,0.129977289,1.275534447,0.153116256,-4.870659811,2.846578244,1.951393426,1.066760257,0.008596707,-0.146019810,0.226158671,-0.020054083,0
6,0.060000,1,0.042612890088,0,0.251223404,0.242935506,0.913515054,0.000396686,0.000658644,-0.000638456,0.000999398,0.003644003,0.250934352,-0.238967105,0.917278458,0.000347935,0.000468024,0.000423824,0.000720924,0.002400165,-0.004098025,-0.004265796,0.001300133,-0.002335837,0.505319384,0.004281009,0.011439708,0.000319676,0.002893722,0.000441166,-0.010153681,-0.494261658,0.004113399,0.003015967,0.000022460,0.000101099,0.000440752,-1.252921793,-1.762144012,0.448230202,-0.754867178,2.144972915,1.138033713,3.525124059,0.158494253,0.986158541,0.143320355,-4.140295384,2.342978358,1.471774574,0.629891473,0.023815445,0.087097889,0.164914284,-0.018780189,0
7,0.070000,1,0.042030266850,0,0.251678270,0.243678667,0.912779171,0.000454867,0.000743161,-0.000735883,0.001140489,0.004784492,0.251344957,-0.238414398,0.917766249,0.000410606,0.000552706,0.000487791,0.000843814,0.003243978,-0.005371258,-0.005549459,0.001661901,-0.003153358,0.506969124,0.005530061,0.015186550,0.000410391,0.003855312,0.000569775,-0.013593005,-0.492303697,0.005484662,0.003954287,0.000031175,0.000121186,0.000590156,-1.150521533,-1.668879886,0.445051430,-0.733579940,1.988684154,1.105428774,3.285329341,0.147538329,0.907883809,0.142339907,-3.868089181,2.195545863,1.353363345,0.542687097,0.023934751,0.054199610,0.151820706,-0.017326342,0
8,0.080000,1,0.041360804542,0,0.252176388,0.244503784,0.911962844,0.000498117,0.000825117,-0.000816327,0.001263063,0.006047556,0.251813254,-0.237783084,0.918330863,0.000468296,0.000631315,0.000564613,0.000967806,0.004211784,-0.006769784,-0.007009336,0.002068492,-0.004046366,0.508833361,0.006892917,0.019285905,0.000516955,0.004915518,0.000712716,-0.017446358,-0.490111439,0.007003102,0.004955596,0.000042273,0.000149982,0.000756052,-1.049253100,-1.575549866,0.440258627,-0.722054087,1.839251162,1.061240985,3.065785586,0.136004999,0.837608872,0.138631462,-3.605221883,2.049950776,1.241022325,0.460341329,0.023414060,0.023590132,0.139352669,-0.015838247,0
9,0.090000,1,0.040609818037,0,0.252714766,0.245406278,0.911071554,0.000538378,0.000902494,-0.000891290,0.001377950,0.007425505,0.252336458,-0.237076475,0.918968873,0.000523204,0.000706609,0.000638010,0.001086322,0.005298106,-0.008283362,-0.008636102,0.002519588,-0.005012732,0.510896466,0.008366316,0.023713793,0.000638273,0.006066512,0.000869891,-0.021686521,-0.487699627,0.008656879,0.006011174,0.000055763,0.000184199,0.000937130,-0.951909360,-1.483463035,0.433425572,-0.713246142,1.699219136,1.007935287,2.861264062,0.124727225,0.772442141,0.133096245,-3.353394123,1.906973090,1.136486688,0.384855560,0.022174892,-0.004349398,0.127629775,-0.014321767,0
