step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.033712037480,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.715573411,-0.000139932,0.035879383,-3.205975717,-2.032141311,-0.939713981,2.128657482,-0.062404844,0.167178760,-0.106022700,-1.681969319,1.104170839,0.817189422,1.286997797,0.011913334,-0.216753738,0.084191638,426.586617513,76
1,0.010000,1,0.033580156452,0,0.249897738,0.240431737,0.915834330,0.000104334,-0.000096843,-0.000012273,0.000142881,0.000142881,0.249893658,-0.240416686,0.915851986,0.000100254,0.000101894,0.000005384,0.000143046,0.000143046,-0.000070982,-0.000007757,0.000029898,-0.000434292,0.499711656,-0.000153657,0.000268913,-0.000008268,0.000050713,-0.000015784,-0.000583941,-0.499626870,0.000230378,0.000286221,0.000005713,0.000057989,0.000023780,-0.585580525,-0.073896565,0.283637426,-3.962554621,-2.636504128,-1.411769197,2.444986462,-0.075177668,0.471610745,-0.144660298,-5.454048706,3.486875166,2.140605247,2.646978598,0.053814289,0.558117121,0.221062349,-0.014905370,0
2,0.020000,1,0.033457637424,0,0.250106067,0.240239544,0.915821288,0.000208329,-0.000192193,-0.000013041,0.000283741,0.000426622,0.249985670,-0.240322764,0.915851361,0.000092012,0.000093922,-0.000000625,0.000131484,0.000274530,-0.000313522,-0.000015529,0.000063383,-0.001189181,0.499220097,-0.000401286,0.000750693,-0.000022776,0.000118143,-0.000042171,-0.001336078,-0.499143322,0.000542475,0.000701142,0.000012618,0.000094303,0.000055979,-0.552590643,-0.070272781,0.270960786,-3.757344232,-2.500412848,-1.339051076,2.316497041,-0.070964087,0.445092536,-0.137326974,-5.171228228,3.309515468,2.026158215,2.506483445,0.051255879,0.526568355,0.209344477,-0.011011826,0
3,0.030000,1,0.033209391803,0,0.250408080,0.239959599,0.915796951,0.000302013,-0.000279945,-0.000024337,0.000412520,0.000839142,0.250173375,-0.240131351,0.915856667,0.000187705,0.000191412,0.000005305,0.000268142,0.000542672,-0.000614620,-0.000030690,0.000125233,-0.002340326,0.498464888,-0.000790092,0.001476971,-0.000044802,0.000232735,-0.000083023,-0.002633621,-0.498311087,0.001068633,0.001380760,0.000024904,0.000186428,0.000110285,-0.518360517,-0.067047016,0.260027323,-3.560038238,-2.370222355,-1.269263966,2.191968169,-0.066745087,0.418405479,-0.130380979,-4.893887291,3.137990732,1.911196800,2.365973802,0.048922058,0.493274107,0.197655213,-0.007182609,0
4,0.040000,1,0.032841755809,0,0.250798789,0.239595888,0.915762228,0.000390709,-0.000363711,-0.000034723,0.000534925,0.001374068,0.250452017,-0.239846919,0.915868208,0.000278642,0.000284432,0.000011542,0.000398342,0.000941014,-0.000970977,-0.000052878,0.000214178,-0.003867205,0.497459638,-0.001312802,0.002434898,-0.000073924,0.000391836,-0.000137609,-0.004448286,-0.497147900,0.001797406,0.002311027,0.000042316,0.000331210,0.000185525,-0.483046479,-0.064197130,0.250446655,-3.370537500,-2.245679517,-1.202474678,2.071816795,-0.062536687,0.391789911,-0.123804104,-4.622389342,2.971571531,1.796724284,2.226232843,0.046758761,0.458636809,0.186082723,-0.003418369,0
5,0.050000,1,0.032360880539,0,0.251273335,0.239152134,0.915718070,0.000474545,-0.000443754,-0.000044158,0.000651200,0.002025267,0.250817007,-0.239473612,0.915886522,0.000364989,0.000373307,0.000018314,0.000522409,0.001463422,-0.001379170,-0.000081771,0.000329126,-0.005750088,0.496217365,-0.001962440,0.003612023,-0.000109721,0.000592777,-0.000205232,-0.006752340,-0.495670914,0.002717299,0.003477892,0.000064620,0.000525319,0.000280531,-2.819768567,-0.212929407,-0.655781777,-3.162938925,-2.094985280,-1.143604256,1.852307907,-0.061438226,0.378978908,-0.118248153,-3.274308363,2.061757772,0.708011129,2.084576381,0.045061287,0.452011553,-0.016064031,0.000280084,1
6,0.060000,1,0.031772744171,0,0.251826981,0.238631826,0.915665454,0.000553646,-0.000520308,-0.000052616,0.000761585,0.002786853,0.251263913,-0.239015285,0.915912334,0.000446906,0.000458327,0.000025812,0.000640668,0.002104090,-0.001835667,-0.000117084,0.000469119,-0.007970025,0.494750525,-0.002732324,0.004996329,-0.000151771,0.000832898,-0.000285236,-0.009518633,-0.493896772,0.003816864,0.004867379,0.000091600,0.000765293,0.000394144,-2.666506537,-0.205565633,-0.624812556,-2.990291759,-1.984878004,-1.081127121,1.747584476,-0.056928771,0.352370717,-0.112238537,-3.070242300,1.936617710,0.644849539,1.942694779,0.042997237,0.411692709,-0.017888355,0.000172052,1
7,0.070000,1,0.031207698416,0,0.252504115,0.237979062,0.915626387,0.000677134,-0.000652764,-0.000039067,0.000941349,0.003728202,0.251702840,-0.238576585,0.915966020,0.000438927,0.000438700,0.000053686,0.000622894,0.002726984,-0.002574142,-0.000173690,0.000543533,-0.010506256,0.493074186,-0.003616569,0.006565866,-0.000199966,0.001110916,-0.000377065,-0.012612356,-0.491916453,0.004987231,0.006465324,0.000123086,0.001050467,0.000506152,-2.519636086,-0.198342339,-0.595519593,-2.821720476,-1.876002458,-1.020778393,1.645515391,-0.052437349,0.325845481,-0.106367835,-2.875936678,1.815647339,0.585359352,1.808034118,0.041008024,0.373315309,-0.019579328,0.000063198,1
8,0.080000,1,0.030665013022,0,0.253297315,0.237199386,0.915601069,0.000793200,-0.000779676,-0.000025318,0.001112520,0.004840722,0.252134195,-0.238156487,0.916047727,0.000431355,0.000420098,0.000081707,0.000607639,0.003334624,-0.003579267,-0.000250852,0.000555467,-0.013341516,0.491199359,-0.004608927,0.008310161,-0.000253853,0.001424171,-0.000480117,-0.016013104,-0.489742473,0.006222082,0.008257539,0.000158872,0.001376811,0.000616370,-0.008414322,-0.038348133,0.391428877,-2.657392424,-1.768829089,-0.962371974,1.546334166,-0.047987071,0.299549327,-0.100628450,-3.758658527,2.463869343,1.506318713,1.616803108,0.039593182,0.336282012,0.171962853,-0.000047030,0
9,0.090000,1,0.030144002941,0,0.254199264,0.236298013,0.915589797,0.000901949,-0.000901373,-0.000011272,0.001275191,0.006115913,0.252558385,-0.237753990,0.916157644,0.000424190,0.000402496,0.000109917,0.000594998,0.003929621,-0.004836356,-0.000347848,0.000507848,-0.016458948,0.489136932,-0.005703363,0.010219008,-0.000312984,0.001770011,-0.000593806,-0.019701446,-0.487386927,0.007515470,0.010230557,0.000198758,0.001740486,0.000724631,-2.320395145,-0.189326045,-0.573004049,-2.497492128,-1.663763470,-0.905800789,1.450295244,-0.043600465,0.273629055,-0.095017534,-2.479841548,1.561321308,0.444127541,1.561021481,0.037196464,0.302034308,-0.028944690,0.003594781,1
